pair,genename,zscore
V$CETS1P54_01 - V$CREB_Q3,PAFAH1B1,4.12092129920277
V$CETS1P54_01 - V$ER_Q6_02,PAFAH1B1,3.29366496939444
V$NFKAPPAB_01 - V$PAX5_01,PAFAH1B1,3.14698231510814
V$CP2_01 - V$DR3_Q4,PAFAH1B1,3.77521003947831
V$AP1_Q2 - V$PEBP_Q6,PAFAH1B1,3.41224811940173
V$CEBP_Q3 - V$NFKB_Q6,PAFAH1B1,4.04546904684303
V$NFAT_Q4_01 - V$NFKB_Q6,PAFAH1B1,4.2848895306441
V$E2F_Q3_01 - V$GRE_C,PAFAH1B1,3.68959153560333
V$CP2_02 - V$GRE_C,PAFAH1B1,3.07752040514699
V$ETS_Q6 - V$MYCMAX_B,PAFAH1B1,3.21707067800955
V$ETS_Q6 - V$PU1_Q6,PAFAH1B1,3.17782793458339
V$DR3_Q4 - V$E2F_Q3_01,PAFAH1B1,3.87486058514042
V$E2F_Q3_01 - V$ETS_Q6,PAFAH1B1,3.00626013590633
V$AHRHIF_Q6 - V$E2F_Q3_01,PAFAH1B1,3.92277335064058
V$MAF_Q6_01 - V$PEBP_Q6,PAFAH1B1,3.6821802257087
V$MYOD_01 - V$MYOD_Q6_01,KRT14,3.41851198602681
V$CMYB_01 - V$SP1_Q2_01,KRT14,3.13371860849122
V$CMYB_01 - V$ER_Q6_02,KRT14,3.0098336151475
V$AHRHIF_Q6 - V$CMYB_01,KRT14,3.49531203049274
V$NFKAPPAB65_01 - V$STAT_01,KRT14,3.51185694863152
V$CEBPB_01 - V$NF1_Q6,KRT14,3.14014874516404
V$CEBPB_01 - V$NF1_Q6_01,KRT14,3.21087447700309
V$CEBPB_02 - V$NF1_Q6,KRT14,3.27942287899114
V$CEBPB_02 - V$CP2_02,KRT14,3.41227546247998
V$AP1_Q2 - V$CETS168_Q6,KRT14,3.06893078251149
V$AP1_Q6 - V$CETS168_Q6,KRT14,3.2561470891145
V$AP1_Q6 - V$GR_Q6_01,KRT14,3.1250637240234
V$CEBP_Q2 - V$DR4_Q2,KRT14,3.22286433415801
V$AP1_Q4_01 - V$GR_Q6,KRT14,3.00074469547269
V$MYCMAX_B - V$NFKB_Q6,KRT14,3.46970479954203
V$NFKB_Q6 - V$SMAD_Q6_01,KRT14,3.82568796302716
V$MYB_Q5_01 - V$STAT_01,KRT14,3.11738914690267
V$AHRHIF_Q6 - V$STAT_01,KRT14,3.2596886316649
V$CHOP_01 - V$USF_Q6_01,KRT14,3.42824276445657
V$MYCMAX_B - V$SP1_Q4_01,KRT14,3.07320765681774
V$HIF1_Q5 - V$SOX9_B1,KRT14,3.84073232054649
V$AP1_01 - V$CETS168_Q6,KRT14,3.07869075463963
V$CREB_Q3 - V$PU1_Q6,KRT14,3.14305506200512
V$AHRHIF_Q6 - V$PU1_Q6,KRT14,4.96450587113745
V$PEBP_Q6 - V$USF_Q6_01,KRT14,3.18594203844362
V$AP1_Q2_01 - V$CREB_Q3,KRT14,3.01604341119911
V$CP2_02 - V$MYB_Q5_01,KRT14,3.31066013600615
V$AP1_Q2_01 - V$SP1_Q4_01,KRT14,3.11406005291995
V$AP1_Q2_01 - V$E2A_Q6,KRT14,4.19283566676158
V$E2A_Q6 - V$MYOD_Q6_01,KRT14,3.10468684891734
V$E2A_Q6 - V$SP1_Q4_01,KRT14,4.26881194149758
V$PEBP_Q6 - V$SP1_Q4_01,KRT14,3.96247886755262
V$OCT1_Q6 - V$VMYB_01,ADH1A,3.13257399957018
