PWM1,PWM2,pair,knownCompelPair,knownBioGridPair
V$CETS1P54_01,V$EBF_Q6,V$CETS1P54_01 - V$EBF_Q6,FALSE,FALSE
V$CP2_01,V$ETS1_B,V$CP2_01 - V$ETS1_B,FALSE,FALSE
V$CP2_01,V$NF1_Q6_01,V$CP2_01 - V$NF1_Q6_01,FALSE,FALSE
V$CEBPA_01,V$GR_Q6_01,V$CEBPA_01 - V$GR_Q6_01,FALSE,TRUE
V$PAX5_01,V$SMAD3_Q6,V$PAX5_01 - V$SMAD3_Q6,FALSE,FALSE
V$COUP_01,V$DR4_Q2,V$COUP_01 - V$DR4_Q2,TRUE,TRUE
V$AP1FJ_Q2,V$DR4_Q2,V$AP1FJ_Q2 - V$DR4_Q2,FALSE,FALSE
V$AP1FJ_Q2,V$HNF4_Q6,V$AP1FJ_Q2 - V$HNF4_Q6,FALSE,FALSE
V$AP1FJ_Q2,V$PEBP_Q6,V$AP1FJ_Q2 - V$PEBP_Q6,FALSE,TRUE
V$ER_Q6,V$ETS1_B,V$ER_Q6 - V$ETS1_B,FALSE,FALSE
V$NFKB_Q6,V$PR_Q2,V$NFKB_Q6 - V$PR_Q2,FALSE,TRUE
V$ETS_Q6,V$PU1_Q6,V$ETS_Q6 - V$PU1_Q6,TRUE,TRUE
V$PR_Q2,V$SF1_Q6,V$PR_Q2 - V$SF1_Q6,FALSE,FALSE
V$EBF_Q6,V$ELF1_Q6,V$EBF_Q6 - V$ELF1_Q6,FALSE,FALSE
V$AML_Q6,V$CEBP_Q2_01,V$AML_Q6 - V$CEBP_Q2_01,FALSE,TRUE
V$CEBP_Q2_01,V$PEBP_Q6,V$CEBP_Q2_01 - V$PEBP_Q6,FALSE,TRUE
V$AHRHIF_Q6,V$MYOD_Q6_01,V$AHRHIF_Q6 - V$MYOD_Q6_01,FALSE,FALSE
V$CEBP_C,V$CMYB_01,V$CEBP_C - V$CMYB_01,TRUE,FALSE
V$CETS1P54_01,V$NFKB_Q6,V$CETS1P54_01 - V$NFKB_Q6,TRUE,FALSE
V$CETS1P54_01,V$MYCMAX_B,V$CETS1P54_01 - V$MYCMAX_B,FALSE,FALSE
V$CETS1P54_01,V$CREB_Q3,V$CETS1P54_01 - V$CREB_Q3,TRUE,TRUE
